Instances,feature_Mean_StdDevDist,feature_Centroid_X,feature_Centroid_Y,feature_Radius,feature_FracDistinctDists_1Digit,feature_FracDistinctDists_2Digits,feature_FracDistinctDists_3Digits,feature_FracDistinctDists_4Digits,feature_RectangularArea,feature_VarNormalised_nNNds,feature_CoeffvarNormalised_nNNds,feature_NumClusters,feature_CitiesModClusters,feature_VarCitiesPerCluster,feature_NumOutliers,feature_RatioNodesNearEdgesPlane,feature_MeanRadiusEachCluster,algo_CLK_Mean_Effort,algo_LKCC_Mean_Effort,Sources
CLKeasy_014,95.62110883,205.5,183.54,155.8775727,0.0015,0.0129,0.0836,0.2919,154054,0.000212399,31.12557139,1,0,0,0,0.69,155.8775727,7152.8,227.192,Easy_CLK
CLKeasy_015,101.2398826,208.65,185.69,165.0755094,0.0016,0.0135,0.084,0.2965,154812,0.000276795,39.98787763,2,0,1458,8,0.56,107.7288953,8116.39,393.364,Easy_CLK
CLKeasy_016,91.35648156,195.24,226.5,149.1476437,0.0016,0.0125,0.0812,0.2874,155235,0.000275099,32.26851451,1,0,0,7,0.61,143.9666912,6034.82,530.333,Easy_CLK
CLKeasy_017,93.52804158,194.65,204.74,152.8293361,0.0018,0.0135,0.0835,0.2875,157206,0.000306396,37.83152555,1,0,0,1,0.7,151.642763,8326.8,1478.55,Easy_CLK
CLKeasy_018,98.56703963,186.13,188.91,162.4237313,0.0016,0.0131,0.081,0.2933,155235,0.000279287,36.02260731,1,0,0,0,0.7,162.4237313,7352.89,1542.76,Easy_CLK
CLKeasy_019,102.3931044,188.52,193.23,168.5173931,0.0017,0.0133,0.0811,0.2956,156024,0.000287635,37.35843843,2,0,1458,0,0.82,119.4415195,8543.36,1284.41,Easy_CLK
CLKeasy_020,91.63723987,192.71,206.7,148.4493141,0.0017,0.0128,0.0815,0.2882,156025,0.000442102,42.87665855,1,0,0,3,0.58,146.4611989,7426.84,1318.41,Easy_CLK
CLKeasy_021,91.34017655,187.36,182.7,150.150566,0.0017,0.0128,0.0824,0.2818,156021,0.000397067,39.39481153,1,0,0,1,0.61,149.8639287,7042.53,599.303,Easy_CLK
CLKeasy_022,95.24521129,204.38,199.6,153.6652128,0.0017,0.0136,0.083,0.2891,154433,0.000214425,35.00721313,1,0,0,0,0.69,153.6652128,8144.81,446.273,Easy_CLK
CLKeasy_023,91.03022964,195.88,169.66,146.8594119,0.0016,0.0132,0.0841,0.2862,152096,0.000329843,40.88827985,1,0,0,7,0.48,141.5201759,7760.46,1119.72,Easy_CLK
CLKeasy_024,98.55926566,195.9,207.94,162.2088852,0.0018,0.0133,0.0817,0.29,154445,0.000346077,41.62859377,2,0,882,0,0.76,115.1596872,7913.2,1176.4,Easy_CLK
CLKeasy_025,91.97328231,191.24,194.39,149.5454755,0.0018,0.0129,0.0805,0.284,150528,0.000378587,39.55175299,1,0,0,0,0.78,149.5454755,6449.17,1373.82,Easy_CLK
CLKeasy_026,95.4861345,196.99,189.85,155.5293004,0.0017,0.0129,0.0796,0.2881,154822,0.000312023,37.95721216,1,0,0,8,0.71,150.1547569,9043.16,950.566,Easy_CLK
CLKeasy_027,94.7376862,201.45,217.6,156.2026889,0.0017,0.0133,0.0822,0.291,152877,0.000227545,34.13209101,1,0,0,0,0.71,156.2026889,7272.28,1060.1,Easy_CLK
CLKeasy_028,93.27641594,171.14,209.67,151.9604546,0.0017,0.0134,0.082,0.2869,155235,0.00036494,43.77300084,1,0,0,35,0.34,126.0141016,7293.67,364.859,Easy_CLK
CLKeasy_029,101.9420875,199.28,191.81,166.9501623,0.0018,0.0135,0.0822,0.2967,159201,0.000297749,39.88551238,1,0,0,0,0.68,166.9501623,8966.13,924.556,Easy_CLK
CLKeasy_030,101.9020699,194.63,194.79,167.2441033,0.0018,0.0132,0.0801,0.292,156024,0.000363527,43.00037881,1,0,0,2,0.65,167.4319326,9491.19,603.556,Easy_CLK
CLKeasy_031,92.26933187,165.85,184.46,149.1527729,0.0017,0.0133,0.0841,0.2843,151320,0.000403439,42.43132561,1,0,0,6,0.56,143.8553464,9478,582.081,Easy_CLK
CLKeasy_032,99.66951446,190.81,206.58,163.2422065,0.0018,0.0135,0.0823,0.296,157206,0.000314181,38.81485149,1,0,0,1,0.7,164.1625034,8760.98,1118.41,Easy_CLK
CLKeasy_033,93.64825512,202.04,181.31,153.5338514,0.0018,0.0129,0.0809,0.2885,156025,0.000311592,36.7766289,1,0,0,2,0.69,151.4997688,6937.24,641.545,Easy_CLK
CLKeasy_034,96.31359375,195.4,189.35,158.0588109,0.0015,0.0128,0.0814,0.2862,155630,0.000230301,31.48772223,1,0,0,0,0.72,158.0588109,6907.12,607.636,Easy_CLK
CLKeasy_035,96.85603901,210.56,185.63,156.17764,0.0018,0.0137,0.0846,0.2949,148947,0.000329688,44.73578417,2,0,612.5,1,0.7,112.7136901,8721.94,884.545,Easy_CLK
CLKeasy_036,96.316713,196.63,209.47,159.0027235,0.0018,0.013,0.0814,0.2869,150543,0.000284345,35.79644021,1,0,0,0,0.81,159.0027235,7479.13,675.778,Easy_CLK
CLKeasy_037,97.2442763,192.8,180.32,158.8970415,0.0017,0.013,0.0823,0.2885,154448,0.00022477,32.83863498,1,0,0,0,0.64,158.8970415,7432.48,420.253,Easy_CLK
CLKeasy_038,97.5127503,194.05,197.25,159.672752,0.0017,0.0135,0.0828,0.2946,155628,0.000370544,42.76834173,1,0,0,0,0.68,159.672752,8942.03,475.192,Easy_CLK
CLKeasy_039,91.58993861,213.81,198.96,148.4278755,0.0016,0.0131,0.0812,0.2895,153252,0.000239782,33.42832046,1,0,0,0,0.66,148.4278755,6672.72,822.768,Easy_CLK
CLKeasy_040,95.48613145,182.57,216.38,155.4779226,0.0018,0.0134,0.0821,0.289,152460,0.00035382,40.47335696,1,0,0,16,0.5,138.6503293,8774.58,477.232,Easy_CLK
CLKeasy_041,93.58622596,184.04,208.69,151.8304613,0.0017,0.0133,0.0853,0.2866,153266,0.000312945,37.60287422,1,0,0,3,0.6,149.1266342,6801.98,1774.24,Easy_CLK
CLKeasy_042,90.78560121,165.57,180.18,146.6006215,0.0016,0.0129,0.0834,0.2881,151296,0.000340983,37.88341152,1,0,0,10,0.52,139.7824068,6474.17,436.091,Easy_CLK
CLKeasy_043,95.65551569,208.81,211.72,155.5621594,0.0018,0.0133,0.083,0.2927,157206,0.00035164,40.40758336,1,0,0,5,0.57,154.3400585,7894.26,664.535,Easy_CLK
CLKeasy_044,95.34592961,200.87,199,154.4204061,0.0017,0.0134,0.0823,0.2866,150136,0.000271644,36.16616038,1,0,0,0,0.73,154.4204061,6958.56,742.657,Easy_CLK
CLKeasy_045,93.54361769,182.9,175.66,153.02017,0.0016,0.013,0.0818,0.2835,153660,0.0003075,38.06447849,1,0,0,0,0.64,153.02017,7907.74,450.919,Easy_CLK
CLKeasy_046,90.20501684,186.32,187.83,146.4582615,0.0019,0.0138,0.0849,0.2849,152099,0.000378459,46.08699982,1,0,0,5,0.65,142.4037225,7927.04,423.131,Easy_CLK
CLKeasy_047,94.90286098,196.06,197.24,155.8474748,0.0018,0.0131,0.083,0.2875,154413,0.000322236,37.22315547,1,0,0,3,0.74,154.0645536,7175.88,1724.42,Easy_CLK
CLKeasy_048,95.7863639,201.51,206.91,157.4281758,0.0017,0.013,0.0817,0.2902,156812,0.000430437,42.18867312,1,0,0,4,0.7,154.8527933,8475.07,581.293,Easy_CLK
CLKeasy_049,96.34075975,199.42,218.3,155.3606554,0.0016,0.013,0.0827,0.2887,154840,0.000189283,30.85369519,1,0,0,0,0.62,155.3606554,6150.63,207.293,Easy_CLK
CLKeasy_050,97.66551177,200.74,194.57,158.7576436,0.0015,0.013,0.0835,0.289,151710,0.00028411,34.68250412,1,0,0,0,0.73,158.7576436,6882.87,593.566,Easy_CLK
CLKeasy_051,96.65506804,181.57,197.07,158.9793873,0.0016,0.0129,0.0815,0.2888,153272,0.000236575,32.4594466,1,0,0,0,0.76,158.9793873,7432.56,331.525,Easy_CLK
CLKeasy_052,96.77966865,190.66,198.07,157.0209949,0.0017,0.013,0.082,0.2898,154054,0.000263887,34.31862236,1,0,0,0,0.63,157.0209949,9164.9,452.374,Easy_CLK
CLKeasy_053,96.82841571,192.64,204.36,158.6700659,0.0016,0.0132,0.0838,0.2928,154842,0.00024023,34.23596098,1,0,0,4,0.81,155.2401049,7133.32,360.636,Easy_CLK
CLKeasy_054,93.7914643,196.06,203.58,151.7100797,0.0019,0.0138,0.0819,0.2901,153230,0.000321436,43.03399349,2,0,1624.5,15,0.66,99.07149869,9860.11,2517.32,Easy_CLK
CLKeasy_055,91.42938858,198.33,209.09,148.9402852,0.0015,0.013,0.0841,0.2858,152865,0.000233601,33.17785883,1,0,0,12,0.54,141.4727621,6775.44,296.697,Easy_CLK
CLKeasy_056,97.80769476,219.97,192.58,159.9950965,0.0016,0.0131,0.0822,0.2912,158403,0.000318106,37.41681365,1,0,0,1,0.64,158.6282012,8244.55,477.01,Easy_CLK
CLKeasy_057,95.01511158,194.24,200.49,155.2945602,0.0016,0.0132,0.0816,0.2914,150136,0.000285804,37.99411468,1,0,0,0,0.74,155.2945602,8441.73,600.515,Easy_CLK
CLKeasy_058,93.19879165,208,221.9,151.8666835,0.0018,0.0134,0.0825,0.2851,150842,0.000385077,42.72504876,1,0,0,14,0.56,137.0034104,8616.54,924.424,Easy_CLK
CLKeasy_059,89.75624429,203.14,205.03,147.7303718,0.0016,0.0127,0.0802,0.2819,147834,0.000327567,34.60558629,1,0,0,3,0.73,145.4503066,7270.16,1912.81,Easy_CLK
CLKeasy_060,94.10803423,174.14,209.46,152.735445,0.0017,0.0133,0.0823,0.2874,156812,0.000256207,33.99731551,1,0,0,1,0.75,152.4411175,6997.65,225.707,Easy_CLK
CLKeasy_061,93.60290025,192.58,208.25,152.1512803,0.0016,0.0132,0.0851,0.2911,150150,0.000259151,36.82018235,1,0,0,3,0.68,148.5315417,7020.7,442.111,Easy_CLK
CLKeasy_062,93.71414098,202.03,224.05,153.0446967,0.002,0.0133,0.0803,0.2846,159201,0.000476672,46.54555613,1,0,0,4,0.74,151.7557873,8533.44,1126.25,Easy_CLK
CLKeasy_063,91.14114287,203.05,209.14,148.4478013,0.0017,0.0133,0.0818,0.2872,144774,0.000276012,36.08766452,1,0,0,1,0.71,148.1659111,7722.2,522.283,Easy_CLK
CLKeasy_064,97.4672858,202.76,219.77,158.0973756,0.0019,0.0137,0.0841,0.2915,154056,0.000398815,46.30596405,1,0,0,0,0.67,158.0973756,8991.47,532.566,Easy_CLK
CLKeasy_065,90.30980291,206.16,200.92,146.3555155,0.0017,0.0131,0.0834,0.2853,156815,0.00037662,40.90452446,1,0,0,1,0.68,145.8112519,7047.61,688.687,Easy_CLK
CLKeasy_066,94.34534789,199.08,193.36,152.8183529,0.0019,0.0134,0.0811,0.2894,146940,0.000349843,43.71313923,1,0,0,0,0.68,152.8183529,7231.28,1111.08,Easy_CLK
CLKeasy_067,93.5124901,213.51,206.74,152.2486072,0.0016,0.0129,0.0816,0.2869,153648,0.000270501,34.70751164,1,0,0,3,0.75,150.3235684,6792.47,601.636,Easy_CLK
CLKeasy_068,96.34838997,192.01,205.78,156.983925,0.0019,0.0132,0.0798,0.2886,153639,0.000320884,41.50522265,1,0,0,1,0.72,156.252424,8617.72,566.909,Easy_CLK
CLKeasy_069,91.16023597,206.17,200.45,148.2898414,0.0017,0.013,0.0819,0.2868,153663,0.000348196,37.70667685,1,0,0,11,0.6,141.0028461,6932.88,335.394,Easy_CLK
CLKeasy_070,94.7517875,182.89,207.12,154.4790487,0.0019,0.0136,0.0839,0.2901,150842,0.000315219,41.5303269,1,0,0,0,0.68,154.4790487,7464.09,933.232,Easy_CLK
CLKeasy_071,92.88723751,199.34,193.7,149.191067,0.0017,0.0135,0.0827,0.2898,146294,0.000259737,36.96025069,1,0,0,2,0.69,148.3787228,7169.98,648.687,Easy_CLK
CLKeasy_072,95.17055954,204.5,195.16,154.4961491,0.0017,0.0134,0.0812,0.2911,155236,0.000269511,35.63446459,1,0,0,0,0.76,154.4961491,7548.13,298.586,Easy_CLK
CLKeasy_073,98.13325724,196.77,197.16,158.3905817,0.0018,0.0134,0.0844,0.2935,155630,0.000286831,39.39403487,1,0,0,3,0.66,156.1172513,7863.76,799.808,Easy_CLK
CLKeasy_074,89.30967277,180.4,211.75,147.2308082,0.0016,0.0128,0.0822,0.2815,150114,0.000248255,34.72682298,1,0,0,3,0.57,144.486645,7794.19,1393.2,Easy_CLK
CLKeasy_075,95.69144529,207.77,183.61,155.3155025,0.0018,0.0132,0.082,0.2891,157609,0.000444587,45.20637999,2,0,2964.5,5,0.51,92.39454221,9783.38,770.869,Easy_CLK
CLKeasy_076,93.76459739,196.87,207.49,154.5864916,0.0018,0.0132,0.0812,0.2858,151620,0.000341206,41.33170587,1,0,0,0,0.77,154.5864916,8715.73,653.172,Easy_CLK
CLKeasy_077,98.27447797,203.24,189.08,159.7165708,0.0016,0.0133,0.0821,0.292,156414,0.000309373,38.64877258,1,0,0,0,0.65,159.7165708,8079.14,256.889,Easy_CLK
CLKeasy_078,95.9130494,192.75,190.24,157.8854064,0.0016,0.013,0.0813,0.2896,148568,0.000274277,34.30340359,1,0,0,0,0.7,157.8854064,7005.65,1296.34,Easy_CLK
CLKeasy_079,95.69852951,182.21,195.61,154.3035698,0.0017,0.0131,0.0833,0.2909,155235,0.000312206,37.65284874,1,0,0,1,0.68,154.0104266,7655.7,1823.22,Easy_CLK
CLKeasy_080,96.01425926,196.68,184.73,156.8614062,0.0016,0.0128,0.0814,0.2891,155628,0.000262806,34.3449923,2,0,2592,0,0.64,102.2597548,8238.18,779.061,Easy_CLK
CLKeasy_081,95.55723064,194.01,204.21,157.3663622,0.0016,0.0131,0.0784,0.2908,156812,0.000272201,34.47359576,1,0,0,2,0.75,156.4513993,6232.44,760.899,Easy_CLK
CLKeasy_082,95.36089507,207.31,192.04,155.877445,0.0016,0.0129,0.0827,0.2907,156408,0.000191727,30.68463863,1,0,0,0,0.74,155.877445,6833.45,365.384,Easy_CLK
CLKeasy_083,95.48429906,198.04,210.98,155.7794497,0.0016,0.0131,0.0827,0.2915,157206,0.000331616,37.88374552,1,0,0,0,0.74,155.7794497,7662.78,358.758,Easy_CLK
CLKeasy_084,94.98879281,202.31,196.48,155.0179086,0.0016,0.0128,0.0817,0.2904,156420,0.000246515,32.49734103,1,0,0,0,0.73,155.0179086,7653.28,1542.79,Easy_CLK
CLKeasy_085,94.90650591,193.44,212.82,154.8440965,0.0017,0.0131,0.0818,0.2836,156418,0.000249343,34.27598768,2,0,1152,0,0.77,127.2418525,8900.09,398.515,Easy_CLK
CLKeasy_086,93.89185279,206.67,213.97,153.369463,0.0019,0.0135,0.0823,0.287,155628,0.000355252,43.48632881,1,0,0,4,0.72,148.6475542,6438.03,430.596,Easy_CLK
CLKeasy_087,97.36940798,200.92,188.81,159.4357065,0.0017,0.0132,0.0815,0.2893,156815,0.000332502,38.23589753,1,0,0,1,0.83,159.9251175,8418.74,450.101,Easy_CLK
CLKeasy_088,97.4772277,191.16,203.08,158.4394461,0.0016,0.0132,0.0834,0.293,158006,0.000328643,38.42582506,1,0,0,2,0.63,157.5510707,8779.97,1142.85,Easy_CLK
CLKeasy_089,94.16123599,197.33,203.07,154.2288053,0.0016,0.0128,0.0806,0.2853,152100,0.000225275,31.37343279,1,0,0,0,0.75,154.2288053,7052.02,1159.15,Easy_CLK
CLKeasy_090,97.17974013,211.6,195.64,158.145708,0.0016,0.0132,0.0823,0.291,158004,0.000248171,34.36063494,1,0,0,0,0.69,158.145708,7291.59,352.606,Easy_CLK
CLKeasy_091,94.37760271,212.83,183.02,155.0587772,0.0015,0.0129,0.0812,0.2865,143605,0.000218113,31.35758283,1,0,0,0,0.79,155.0587772,5413.32,633.879,Easy_CLK
CLKeasy_092,96.25016094,196.28,213.09,157.2608931,0.0018,0.0131,0.0821,0.289,148980,0.000300066,37.70487175,1,0,0,2,0.73,154.9894648,8512.2,1035.45,Easy_CLK
CLKeasy_093,93.42890848,194.54,206.09,153.04955,0.0018,0.0132,0.083,0.2858,153252,0.000322041,40.69864709,1,0,0,0,0.66,153.04955,8502.67,1757.6,Easy_CLK
CLKeasy_094,94.99103979,210.18,213.89,155.2725735,0.0015,0.0129,0.0803,0.2874,152064,0.000312681,37.8444014,1,0,0,1,0.78,154.6558832,8752.75,583.626,Easy_CLK
CLKeasy_095,95.938544,195.25,204.87,156.5126215,0.0017,0.013,0.0808,0.2887,153648,0.000325307,36.92284778,1,0,0,0,0.65,156.5126215,8021.53,529.98,Easy_CLK
CLKeasy_096,94.780684,220.71,223.84,152.6138378,0.0017,0.0131,0.0838,0.2894,153260,0.000276675,37.83779007,1,0,0,7,0.49,144.575714,8859.45,415.747,Easy_CLK
CLKeasy_097,93.3281337,210.99,212.22,153.0973575,0.0018,0.0133,0.0822,0.2872,152865,0.000333238,40.47416692,1,0,0,1,0.71,152.3274143,7830.94,800.101,Easy_CLK
CLKeasy_098,95.34087359,210.24,200.12,158.2904258,0.0016,0.0129,0.0798,0.2868,156807,0.00036394,40.71635226,1,0,0,1,0.75,157.4421218,8708.34,858.717,Easy_CLK
CLKeasy_099,94.47392059,182.46,179.37,151.145305,0.0016,0.0131,0.0851,0.2905,155236,0.000223153,32.59049432,1,0,0,6,0.6,151.0384785,6793.54,583.141,Easy_CLK
CLKeasy_100,94.51504534,202.93,198.08,154.6013139,0.0016,0.0129,0.0816,0.2863,158004,0.000294452,35.22729436,1,0,0,1,0.76,153.8300254,6813.06,325.03,Easy_CLK
CLKeasy_101,91.15074962,202.62,215.44,150.0493889,0.0018,0.0131,0.0803,0.2827,156815,0.000356933,40.56658639,2,0,3120.5,3,0.73,93.23809506,7473.58,333.859,Easy_CLK
CLKeasy_102,95.19636344,204.03,184.55,155.9445565,0.0018,0.0133,0.0824,0.2869,157608,0.000441104,44.04524682,1,0,0,0,0.69,155.9445565,8030.43,717.091,Easy_CLK
CLKeasy_103,91.32329243,195.92,189.85,149.7881092,0.0018,0.0128,0.0822,0.2846,152488,0.00027542,33.92530932,1,0,0,0,0.73,149.7881092,7118.85,186.202,Easy_CLK
CLKeasy_104,93.58479047,193.51,210.02,152.5419734,0.0019,0.0133,0.0829,0.2863,155220,0.000339781,42.37593055,1,0,0,0,0.66,152.5419734,6476.88,635.646,Easy_CLK
CLKeasy_105,90.08781597,209.1,180.57,145.2698314,0.0016,0.0128,0.0833,0.2873,150920,0.00030064,35.46907841,1,0,0,1,0.63,144.8121606,9347.84,1343.07,Easy_CLK
CLKeasy_106,91.9585575,209.29,197.75,150.4810978,0.0015,0.013,0.0797,0.2809,157608,0.000284425,36.23375885,1,0,0,0,0.7,150.4810978,7548.44,514.687,Easy_CLK
CLKeasy_107,93.71724816,192.18,207.29,153.4770067,0.0017,0.0132,0.0825,0.2864,152478,0.000258432,35.21655268,1,0,0,0,0.78,153.4770067,7052.91,1418.44,Easy_CLK
CLKeasy_108,90.65916497,234.93,192.99,144.862862,0.0017,0.0132,0.0851,0.2871,146216,0.000293144,39.45600673,1,0,0,2,0.66,143.0487493,8775.62,1211.63,Easy_CLK
CLKeasy_109,97.72259459,187.6,207.04,157.5156008,0.0017,0.0136,0.0839,0.2921,147838,0.000229904,38.35695935,1,0,0,0,0.64,157.5156008,9906.46,1319.16,Easy_CLK
CLKeasy_110,96.91806851,194.16,186.76,158.9998233,0.0017,0.0131,0.0806,0.2888,149765,0.000312106,36.53807512,1,0,0,1,0.75,159.491511,7312.09,263.111,Easy_CLK
CLKeasy_111,98.49101073,203.34,201.47,160.8066212,0.0016,0.0129,0.0816,0.2938,153648,0.000202934,29.1036436,1,0,0,0,0.79,160.8066212,6210.31,887.717,Easy_CLK
CLKeasy_112,92.01302626,197.86,178.63,148.8543476,0.0018,0.0134,0.0831,0.2883,156024,0.000300249,39.98715339,1,0,0,1,0.68,148.2947575,8793.88,572.404,Easy_CLK
CLKeasy_113,98.05166171,211.58,191.32,157.8807813,0.0018,0.0133,0.0858,0.2938,154440,0.000318197,40.78565538,1,0,0,0,0.6,157.8807813,8777.01,1232.81,Easy_CLK
CLKeasy_114,96.13182982,175.13,195.2,156.4162467,0.0017,0.0134,0.0822,0.2889,154448,0.000407321,45.0555479,1,0,0,11,0.53,147.6145535,7166.11,302.919,Easy_CLK
CLKeasy_115,99.7679,209.82,188.4,162.1024534,0.0016,0.0129,0.0824,0.2993,152484,0.000286796,35.66848265,1,0,0,2,0.66,163.1954665,6923.36,1203.94,Easy_CLK
CLKeasy_116,95.3259386,209.61,196.79,156.1552213,0.0017,0.0133,0.0805,0.2846,152490,0.000273476,37.02163252,1,0,0,0,0.71,156.1552213,8433.74,1260.69,Easy_CLK
CLKeasy_117,99.46991648,182.08,196.23,161.1049466,0.0021,0.0136,0.0825,0.2913,155227,0.000518143,52.8348546,2,0,2738,4,0.63,94.01140646,9448.61,566.333,Easy_CLK
CLKeasy_118,90.57301336,196.81,183.5,148.5186607,0.0017,0.013,0.0801,0.2817,145161,0.000241919,34.2765199,1,0,0,0,0.59,148.5186607,7201.02,608.889,Easy_CLK
CLKeasy_119,97.39748317,200.88,234.75,158.9727545,0.0017,0.0129,0.0823,0.2908,154054,0.000316237,38.0867509,1,0,0,0,0.74,158.9727545,8617.07,377.717,Easy_CLK
CLKeasy_120,98.56462969,228.72,201.53,160.4322606,0.0016,0.0132,0.0817,0.2931,154056,0.000355504,41.41419928,1,0,0,1,0.55,159.7782622,7589.44,1032.95,Easy_CLK
CLKeasy_121,98.61166006,220.35,192.42,161.9229513,0.0016,0.0132,0.0809,0.2931,154056,0.000323195,39.31457674,1,0,0,3,0.71,158.8099708,7788.57,491.586,Easy_CLK
CLKeasy_122,96.18402485,191.47,181.59,157.5789644,0.0017,0.0133,0.0821,0.2882,148590,0.000291427,39.41344124,2,0,1984.5,1,0.66,113.7172883,8765.39,378.253,Easy_CLK
CLKeasy_123,98.76400714,195.71,196.51,161.6201573,0.0016,0.0133,0.0825,0.2918,154448,0.000238953,33.63300046,1,0,0,0,0.73,161.6201573,7116.42,959.859,Easy_CLK
CLKeasy_124,89.25792906,230.29,186.08,146.6477688,0.0017,0.0129,0.0817,0.2821,155236,0.000383855,41.81633289,1,0,0,18,0.38,127.1308057,9644.12,2416.45,Easy_CLK
CLKeasy_125,91.55529513,202.55,230.44,148.0952783,0.0018,0.0132,0.0832,0.2878,149310,0.00042564,44.64341099,1,0,0,6,0.55,143.7075835,9322.69,717.545,Easy_CLK
CLKeasy_126,93.34002387,210.19,203.86,151.7623013,0.0018,0.0136,0.0829,0.2871,154830,0.000297958,40.02444071,1,0,0,4,0.65,148.4098813,8400.33,1091.8,Easy_CLK
CLKeasy_127,100.3690107,198.77,214.13,162.9656859,0.0021,0.0138,0.0823,0.2931,149362,0.000421595,47.15185721,3,1,460.3333333,0,0.62,93.13421587,8259.81,322.949,Easy_CLK
CLKeasy_128,92.36345122,201.1,221.17,150.3015462,0.0019,0.0131,0.0831,0.2884,153664,0.000420649,42.37524858,1,0,0,19,0.51,136.4033884,9834.8,439.384,Easy_CLK
CLKeasy_129,92.77126093,180.33,185.42,150.636813,0.0018,0.0131,0.084,0.2872,150535,0.000370602,42.84677328,1,0,0,0,0.59,150.636813,8949.36,690.727,Easy_CLK
CLKeasy_130,89.20235336,192.49,195.18,145.4154894,0.0015,0.0128,0.0827,0.282,154449,0.000333294,35.77048712,1,0,0,1,0.57,144.4660881,6682.39,672.141,Easy_CLK
CLKeasy_131,94.42247162,194.29,195.76,154.6879085,0.0018,0.0134,0.0829,0.2899,154440,0.000396642,47.06604065,1,0,0,2,0.55,153.7183268,8703.46,1435.02,Easy_CLK
CLKeasy_132,90.62090006,223.11,201.21,148.4719584,0.0017,0.0131,0.0785,0.2833,157605,0.000365886,38.61892837,1,0,0,5,0.57,143.6055996,7776.7,1203.47,Easy_CLK
CLKeasy_133,91.02047542,216.53,191.81,149.6686483,0.0017,0.0129,0.0809,0.2841,156816,0.000351336,39.84022069,1,0,0,5,0.56,144.5538671,8030.69,932.414,Easy_CLK
CLKeasy_134,91.95397045,218.71,199.61,150.2505305,0.0016,0.0129,0.0807,0.2838,152856,0.000241507,31.74056772,1,0,0,2,0.63,148.9847637,7854.21,1056.59,Easy_CLK
CLKeasy_135,95.5947448,206.85,193.5,156.0474837,0.0016,0.0134,0.0827,0.291,155220,0.000237576,36.63860306,1,0,0,4,0.78,152.6944025,6630.49,1078.04,Easy_CLK
CLKeasy_136,96.72510682,207.56,194.42,159.3377746,0.002,0.0133,0.0803,0.2927,158802,0.000464237,45.31579517,1,0,0,0,0.72,159.3377746,7021.55,1031.57,Easy_CLK
