Instances,Source,feature_n,feature_Mean,feature_Median,feature_Var,feature_Max,feature_Min,feature_Huge,feature_Large,feature_Medium,feature_Small,feature_Tiny,algo_FFD,algo_DJD
Falkenauer_u250_09,Falkenauer U,250,0.4008,0.4,0.026769138,0.666666667,0.14,0.332,0.248,0.18,0.24,0,1.8,1.8
Falkenauer_u250_10,Falkenauer U,250,0.417493333,0.41,0.023182694,0.666666667,0.133333333,0.344,0.34,0.152,0.164,0,1.6266667,1.6266667
Falkenauer_u250_11,Falkenauer U,250,0.402853333,0.403333333,0.025198081,0.666666667,0.133333333,0.32,0.3,0.156,0.224,0,2.2866667,2.2866667
Falkenauer_u250_12,Falkenauer U,250,0.419706667,0.413333333,0.024038492,0.666666667,0.133333333,0.332,0.324,0.172,0.172,0,2.0733333,3.0733333
Falkenauer_u250_13,Falkenauer U,250,0.40784,0.413333333,0.021035779,0.666666667,0.133333333,0.324,0.304,0.208,0.164,0,2.04,3.04
Falkenauer_u250_14,Falkenauer U,250,0.396666667,0.393333333,0.025303556,0.666666667,0.133333333,0.32,0.276,0.172,0.232,0,1.83333333,1.83333333
Falkenauer_u250_15,Falkenauer U,250,0.419253333,0.42,0.023882465,0.666666667,0.133333333,0.336,0.32,0.152,0.192,0,2.1866667,1.1866667
Falkenauer_u250_16,Falkenauer U,250,0.386053333,0.38,0.024576157,0.666666667,0.133333333,0.304,0.256,0.18,0.26,0,2.48666667,1.48666667
Falkenauer_u250_17,Falkenauer U,250,0.396666667,0.386666667,0.021960267,0.666666667,0.133333333,0.264,0.352,0.188,0.196,0,1.83333333,1.83333333
Falkenauer_u250_18,Falkenauer U,250,0.3988,0.393333333,0.025759093,0.666666667,0.133333333,0.308,0.292,0.148,0.252,0,2.3,1.3
Falkenauer_u250_19,Falkenauer U,250,0.40544,0.406666667,0.021666051,0.666666667,0.133333333,0.288,0.364,0.168,0.18,0,1.64,1.64
Falkenauer_u500_00,Falkenauer U,500,0.39516,0.393333333,0.024217374,0.666666667,0.133333333,0.302,0.282,0.184,0.232,0,3.42,2.42
Falkenauer_u500_01,Falkenauer U,500,0.401693333,0.4,0.023891622,0.666666667,0.133333333,0.302,0.324,0.164,0.21,0,3.1533333,1.1533333
Falkenauer_u500_02,Falkenauer U,500,0.40288,0.4,0.023311172,0.666666667,0.133333333,0.318,0.326,0.148,0.208,0,3.56,1.56
Falkenauer_u500_03,Falkenauer U,500,0.407626667,0.406666667,0.024708945,0.666666667,0.133333333,0.328,0.304,0.166,0.202,0,3.1866667,3.1866667
Falkenauer_u500_04,Falkenauer U,500,0.410226667,0.413333333,0.023717726,0.666666667,0.14,0.324,0.316,0.162,0.198,0,3.8866667,1.8866667
Falkenauer_u500_05,Falkenauer U,500,0.410173333,0.406666667,0.02424397,0.666666667,0.133333333,0.332,0.32,0.154,0.194,0,1.9133333,2.9133333
Falkenauer_u500_06,Falkenauer U,500,0.413773333,0.413333333,0.02257234,0.666666667,0.133333333,0.328,0.314,0.19,0.168,0,3.1133333,3.1133333
Falkenauer_u500_07,Falkenauer U,500,0.40796,0.413333333,0.02472055,0.666666667,0.133333333,0.328,0.298,0.162,0.212,0,3.02,1.02
Falkenauer_u500_08,Falkenauer U,500,0.39136,0.38,0.023296373,0.666666667,0.133333333,0.284,0.304,0.184,0.228,0,3.32,1.32
Falkenauer_u500_09,Falkenauer U,500,0.40212,0.393333333,0.023723594,0.666666667,0.133333333,0.298,0.328,0.158,0.216,0,2.94,1.94
Falkenauer_u500_10,Falkenauer U,500,0.398133333,0.403333333,0.023674916,0.666666667,0.133333333,0.302,0.306,0.178,0.214,0,2.9333333,0.9333333
Falkenauer_u500_11,Falkenauer U,500,0.398853333,0.403333333,0.024988196,0.666666667,0.133333333,0.31,0.298,0.164,0.228,0,3.5733333,1.5733333
Falkenauer_u500_12,Falkenauer U,500,0.39724,0.406666667,0.024690782,0.666666667,0.133333333,0.282,0.338,0.148,0.232,0,3.38,1.38
Falkenauer_u500_13,Falkenauer U,500,0.391173333,0.393333333,0.024752312,0.666666667,0.133333333,0.292,0.314,0.14,0.254,0,2.4133333,1.4133333
Falkenauer_u500_14,Falkenauer U,500,0.406053333,0.406666667,0.025523179,0.666666667,0.133333333,0.32,0.304,0.164,0.212,0,2.9733333,2.9733333
Falkenauer_u500_15,Falkenauer U,500,0.400266667,0.406666667,0.021919929,0.666666667,0.133333333,0.29,0.344,0.154,0.212,0,3.8666667,0.8666667
Falkenauer_u500_16,Falkenauer U,500,0.402013333,0.416666667,0.02424688,0.666666667,0.133333333,0.316,0.306,0.156,0.222,0,3.9933333,0.9933333
Falkenauer_u500_17,Falkenauer U,500,0.394853333,0.393333333,0.025165867,0.666666667,0.133333333,0.302,0.3,0.152,0.246,0,3.5733333,1.5733333
Falkenauer_u500_18,Falkenauer U,500,0.402586667,0.393333333,0.023974998,0.666666667,0.133333333,0.33,0.306,0.162,0.202,0,3.7066667,0.7066667
Falkenauer_u500_19,Falkenauer U,500,0.391266667,0.376666667,0.026558129,0.666666667,0.133333333,0.312,0.252,0.168,0.268,0,3.3666667,1.3666667
Falkenauer_t120_00,Falkenauer T,120,0.333333333,0.31,0.005519189,0.497,0.25,0,0.441666667,0.541666667,0.016666667,0,5,5
Falkenauer_t120_01,Falkenauer T,120,0.333333333,0.3195,0.004853122,0.498,0.25,0,0.433333333,0.533333333,0.033333333,0,5,5
Falkenauer_t120_02,Falkenauer T,120,0.333333333,0.305,0.005798322,0.499,0.25,0,0.425,0.525,0.05,0,5,5
Falkenauer_t120_03,Falkenauer T,120,0.333333333,0.304,0.005240706,0.499,0.25,0,0.4,0.575,0.025,0,6,6
Falkenauer_t120_04,Falkenauer T,120,0.333333333,0.302,0.006174339,0.499,0.25,0,0.391666667,0.583333333,0.025,0,6,6
Falkenauer_t120_05,Falkenauer T,120,0.333333333,0.3055,0.005665372,0.499,0.25,0,0.408333333,0.566666667,0.025,0,6,6
Falkenauer_t120_06,Falkenauer T,120,0.333333333,0.3185,0.004813639,0.493,0.25,0,0.416666667,0.566666667,0.016666667,0,5,5
Falkenauer_t120_07,Falkenauer T,120,0.333333333,0.309,0.005681389,0.497,0.25,0,0.433333333,0.533333333,0.033333333,0,6,6
Falkenauer_t120_08,Falkenauer T,120,0.333333333,0.307,0.005418072,0.494,0.25,0,0.408333333,0.575,0.016666667,0,6,6
Falkenauer_t120_09,Falkenauer T,120,0.333333333,0.3185,0.005274356,0.499,0.25,0,0.45,0.5,0.05,0,5,5
Falkenauer_t120_10,Falkenauer T,120,0.333333333,0.306,0.005307539,0.495,0.25,0,0.416666667,0.566666667,0.016666667,0,6,6
Falkenauer_t120_11,Falkenauer T,120,0.333333333,0.308,0.005701372,0.499,0.25,0,0.416666667,0.575,0.008333333,0,6,6
Falkenauer_t120_12,Falkenauer T,120,0.333333333,0.298,0.006434306,0.498,0.25,0,0.433333333,0.508333333,0.058333333,0,6,6
Falkenauer_t120_13,Falkenauer T,120,0.333333333,0.3175,0.004678572,0.491,0.25,0,0.425,0.558333333,0.016666667,0,6,6
Falkenauer_t120_14,Falkenauer T,120,0.333333333,0.31,0.005683606,0.496,0.25,0,0.416666667,0.566666667,0.016666667,0,6,6
Falkenauer_t120_15,Falkenauer T,120,0.333333333,0.3055,0.005567139,0.487,0.25,0,0.4,0.575,0.025,0,6,6
Falkenauer_t120_16,Falkenauer T,120,0.333333333,0.313,0.005206722,0.492,0.25,0,0.425,0.558333333,0.016666667,0,6,6
Falkenauer_t120_17,Falkenauer T,120,0.333333333,0.298,0.006166906,0.499,0.25,0,0.366666667,0.625,0.008333333,0,7,7
Falkenauer_t120_18,Falkenauer T,120,0.333333333,0.305,0.006016872,0.499,0.25,0,0.383333333,0.566666667,0.05,0,6,6
Falkenauer_t120_19,Falkenauer T,120,0.333333333,0.309,0.005881506,0.499,0.25,0,0.391666667,0.583333333,0.025,0,6,6
Falkenauer_t249_00,Falkenauer T,249,0.333333333,0.302,0.006347893,0.498,0.25,0,0.421686747,0.53815261,0.040160643,0,11,11
Falkenauer_t249_01,Falkenauer T,249,0.333333333,0.309,0.005569082,0.499,0.25,0,0.40562249,0.558232932,0.036144578,0,12,12
Falkenauer_t249_02,Falkenauer T,249,0.333333333,0.315,0.005032624,0.496,0.25,0,0.43373494,0.542168675,0.024096386,0,11,11
Falkenauer_t249_03,Falkenauer T,249,0.333333333,0.304,0.005747138,0.499,0.25,0,0.409638554,0.570281124,0.020080321,0,12,12
Falkenauer_t249_04,Falkenauer T,249,0.333333333,0.296,0.00662419,0.499,0.25,0,0.40562249,0.550200803,0.044176707,0,12,12
Falkenauer_t249_05,Falkenauer T,249,0.333333333,0.312,0.005082736,0.499,0.25,0,0.417670683,0.562248996,0.020080321,0,12,12
Falkenauer_t249_06,Falkenauer T,249,0.333333333,0.309,0.005728576,0.499,0.25,0,0.421686747,0.542168675,0.036144578,0,12,12
Falkenauer_t249_07,Falkenauer T,249,0.333333333,0.304,0.005881162,0.499,0.25,0,0.413654618,0.562248996,0.024096386,0,13,13
Falkenauer_t249_08,Falkenauer T,249,0.333333333,0.313,0.005634343,0.498,0.25,0,0.437751004,0.530120482,0.032128514,0,12,12
Falkenauer_t249_09,Falkenauer T,249,0.333333333,0.305,0.005413033,0.494,0.25,0,0.409638554,0.574297189,0.016064257,0,12,12
Falkenauer_t249_10,Falkenauer T,249,0.333333333,0.301,0.00619427,0.499,0.25,0,0.393574297,0.574297189,0.032128514,0,12,12
Falkenauer_t249_11,Falkenauer T,249,0.333333333,0.307,0.00548472,0.497,0.25,0,0.401606426,0.59437751,0.004016064,0,13,13
Falkenauer_t249_12,Falkenauer T,249,0.333333333,0.316,0.004955098,0.494,0.25,0,0.453815261,0.522088353,0.024096386,0,11,11
Falkenauer_t249_13,Falkenauer T,249,0.333333333,0.306,0.005904841,0.495,0.25,0,0.413654618,0.558232932,0.02811245,0,13,13
Falkenauer_t249_14,Falkenauer T,249,0.333333333,0.314,0.004828897,0.498,0.25,0,0.429718876,0.562248996,0.008032129,0,12,12
Falkenauer_t249_15,Falkenauer T,249,0.333333333,0.31,0.005544953,0.499,0.25,0,0.417670683,0.53815261,0.044176707,0,12,12
Falkenauer_t249_16,Falkenauer T,249,0.333333333,0.302,0.00571517,0.498,0.25,0,0.397590361,0.578313253,0.024096386,0,13,13
Falkenauer_t249_17,Falkenauer T,249,0.333333333,0.315,0.004983266,0.498,0.25,0,0.437751004,0.53815261,0.024096386,0,11,11
Falkenauer_t249_18,Falkenauer T,249,0.333333333,0.306,0.00557007,0.499,0.25,0,0.429718876,0.546184739,0.024096386,0,11,11
Falkenauer_t249_19,Falkenauer T,249,0.333333333,0.293,0.006883427,0.499,0.25,0,0.369477912,0.606425703,0.024096386,0,13,13
Falkenauer_t501_00,Falkenauer T,501,0.333333333,0.302,0.006091324,0.498,0.25,0,0.425149701,0.54491018,0.02994012,0,23,23
Falkenauer_t501_01,Falkenauer T,501,0.333333333,0.301,0.00591651,0.498,0.25,0,0.389221557,0.600798403,0.00998004,0,24,24
Falkenauer_t501_02,Falkenauer T,501,0.333333333,0.309,0.005044466,0.499,0.25,0,0.423153693,0.564870259,0.011976048,0,23,23
Falkenauer_t501_03,Falkenauer T,501,0.333333333,0.311,0.005145332,0.499,0.25,0,0.413173653,0.570858283,0.015968064,0,23,23
Falkenauer_t501_04,Falkenauer T,501,0.333333333,0.313,0.005329727,0.499,0.25,0,0.419161677,0.566866267,0.013972056,0,24,24
Falkenauer_t501_05,Falkenauer T,501,0.333333333,0.305,0.005720538,0.498,0.25,0,0.411177645,0.558882236,0.02994012,0,23,23
Falkenauer_t501_06,Falkenauer T,501,0.333333333,0.312,0.005205727,0.499,0.25,0,0.423153693,0.55489022,0.021956088,0,23,23
Falkenauer_t501_07,Falkenauer T,501,0.333333333,0.308,0.005406422,0.499,0.25,0,0.421157685,0.548902196,0.02994012,0,22,22
Falkenauer_t501_08,Falkenauer T,501,0.333333333,0.309,0.005354362,0.499,0.25,0,0.395209581,0.580838323,0.023952096,0,24,24
Falkenauer_t501_09,Falkenauer T,501,0.333333333,0.308,0.005383687,0.499,0.25,0,0.419161677,0.560878244,0.01996008,0,23,23
Falkenauer_t501_10,Falkenauer T,501,0.333333333,0.307,0.0054851,0.498,0.25,0,0.425149701,0.548902196,0.025948104,0,23,23
Falkenauer_t501_11,Falkenauer T,501,0.333333333,0.315,0.005027025,0.499,0.25,0,0.433133733,0.552894212,0.013972056,0,23,23
Falkenauer_t501_12,Falkenauer T,501,0.333333333,0.304,0.005955304,0.499,0.25,0,0.421157685,0.55489022,0.023952096,0,23,23
Falkenauer_t501_13,Falkenauer T,501,0.333333333,0.31,0.005347528,0.499,0.25,0,0.425149701,0.556886228,0.017964072,0,23,23
Falkenauer_t501_14,Falkenauer T,501,0.333333333,0.312,0.00552827,0.499,0.25,0,0.423153693,0.546906188,0.02994012,0,22,22
Falkenauer_t501_15,Falkenauer T,501,0.333333333,0.309,0.00534415,0.499,0.25,0,0.417165669,0.558882236,0.023952096,0,23,23
Falkenauer_t501_16,Falkenauer T,501,0.333333333,0.309,0.00561835,0.499,0.25,0,0.423153693,0.550898204,0.025948104,0,22,22
Falkenauer_t501_17,Falkenauer T,501,0.333333333,0.307,0.005541336,0.498,0.25,0,0.399201597,0.574850299,0.025948104,0,24,24
Falkenauer_t501_18,Falkenauer T,501,0.333333333,0.302,0.005656869,0.499,0.25,0,0.409181637,0.558882236,0.031936128,0,22,22
Falkenauer_t501_19,Falkenauer T,501,0.333333333,0.306,0.006209863,0.499,0.25,0,0.405189621,0.570858283,0.023952096,0,24,24
Falkenauer_t60_00,Falkenauer T,60,0.333333333,0.305,0.005262056,0.495,0.251,0,0.45,0.55,0,0,3,3
Falkenauer_t60_01,Falkenauer T,60,0.333333333,0.3105,0.005015389,0.475,0.251,0,0.433333333,0.566666667,0,0,3,3
Falkenauer_t60_02,Falkenauer T,60,0.333333333,0.2965,0.006608189,0.498,0.25,0,0.433333333,0.516666667,0.05,0,3,3
Falkenauer_t60_03,Falkenauer T,60,0.325933333,0.293,0.007200796,0.495,0.049,0,0.416666667,0.533333333,0.05,0.016666667,3.444,3.444
Falkenauer_t60_04,Falkenauer T,60,0.333333333,0.3,0.006090622,0.498,0.25,0,0.383333333,0.6,0.016666667,0,4,4
Falkenauer_t60_05,Falkenauer T,60,0.333333333,0.3035,0.005355989,0.496,0.25,0,0.45,0.533333333,0.016666667,0,3,3
Falkenauer_t60_06,Falkenauer T,60,0.333333333,0.319,0.004799622,0.498,0.25,0,0.433333333,0.516666667,0.05,0,3,3
Falkenauer_t60_07,Falkenauer T,60,0.333333333,0.32,0.004941089,0.487,0.25,0,0.4,0.583333333,0.016666667,0,3,3
Falkenauer_t60_08,Falkenauer T,60,0.333333333,0.3235,0.005525456,0.498,0.25,0,0.5,0.466666667,0.033333333,0,3,3
Falkenauer_t60_09,Falkenauer T,60,0.333333333,0.3175,0.004519756,0.483,0.252,0,0.45,0.55,0,0,3,3
Falkenauer_t60_10,Falkenauer T,60,0.333333333,0.314,0.005219489,0.491,0.25,0,0.416666667,0.55,0.033333333,0,3,3
Falkenauer_t60_11,Falkenauer T,60,0.333333333,0.313,0.005729056,0.495,0.251,0,0.416666667,0.583333333,0,0,4,4
Falkenauer_t60_12,Falkenauer T,60,0.333333333,0.3065,0.005389989,0.495,0.25,0,0.416666667,0.566666667,0.016666667,0,3,3
Falkenauer_t60_13,Falkenauer T,60,0.333333333,0.296,0.006646722,0.495,0.25,0,0.383333333,0.6,0.016666667,0,3,3
Falkenauer_t60_14,Falkenauer T,60,0.333333333,0.31,0.005825922,0.492,0.25,0,0.45,0.533333333,0.016666667,0,3,3
Falkenauer_t60_15,Falkenauer T,60,0.333333333,0.296,0.006604889,0.491,0.25,0,0.366666667,0.616666667,0.016666667,0,3,3
Falkenauer_t60_16,Falkenauer T,60,0.333333333,0.283,0.007240022,0.498,0.25,0,0.366666667,0.6,0.033333333,0,4,4
Falkenauer_t60_17,Falkenauer T,60,0.333333333,0.2875,0.007420456,0.496,0.25,0,0.366666667,0.6,0.033333333,0,4,4
Falkenauer_t60_18,Falkenauer T,60,0.333333333,0.3095,0.005870122,0.495,0.25,0,0.433333333,0.55,0.016666667,0,3,3
Falkenauer_t60_19,Falkenauer T,60,0.333333333,0.3105,0.005774856,0.499,0.25,0,0.45,0.533333333,0.016666667,0,3,3
BPP_1000_1000_0.1_0.7_0,Delorme,1000,0.396842,0.389,0.030466611,0.7,0.101,0.331,0.275,0.129,0.265,0,4.158,5.158
BPP_1000_1000_0.1_0.7_1,Delorme,1000,0.390425,0.384,0.030134308,0.7,0.1,0.308,0.288,0.136,0.268,0.002,2.575,4.575
BPP_1000_1000_0.1_0.7_2,Delorme,1000,0.393652,0.397,0.029881829,0.7,0.1,0.31,0.29,0.132,0.268,0.002,3.348,5.348
BPP_1000_1000_0.1_0.7_3,Delorme,1000,0.389743,0.394,0.029396143,0.7,0.1,0.313,0.284,0.135,0.268,0.001,3.257,6.257
BPP_1000_1000_0.1_0.7_4,Delorme,1000,0.399798,0.401,0.030322531,0.7,0.1,0.324,0.303,0.12,0.253,0.003,3.202,7.202
BPP_1000_1000_0.1_0.7_5,Delorme,1000,0.400358,0.3925,0.03141443,0.7,0.1,0.342,0.252,0.141,0.265,0.003,3.642,7.642
BPP_1000_1000_0.1_0.7_6,Delorme,1000,0.398577,0.394,0.029726854,0.7,0.101,0.339,0.26,0.156,0.245,0,2.423,5.423
BPP_1000_1000_0.1_0.7_7,Delorme,1000,0.406324,0.407,0.029429317,0.7,0.1,0.339,0.28,0.151,0.23,0.001,2.676,8.676
BPP_1000_1000_0.1_0.7_8,Delorme,1000,0.396909,0.3995,0.029606073,0.7,0.1,0.327,0.278,0.141,0.254,0.002,3.091,8.091
BPP_1000_1000_0.1_0.7_9,Delorme,1000,0.410918,0.4085,0.029700001,0.7,0.1,0.364,0.276,0.132,0.228,0.001,3.082,7.082
BPP_1000_1000_0.1_0.8_0,Delorme,1000,0.447925,0.441,0.042872451,0.8,0.1,0.423,0.245,0.099,0.233,0.003,4.075,5.075
BPP_1000_1000_0.1_0.8_1,Delorme,1000,0.457002,0.466,0.041135732,0.8,0.1,0.451,0.233,0.105,0.211,0.002,3.998,4.998
BPP_1000_1000_0.1_0.8_2,Delorme,1000,0.45854,0.4625,0.041014424,0.799,0.1,0.454,0.231,0.11,0.205,0.001,3.46,3.46
BPP_1000_1000_0.1_0.8_3,Delorme,1000,0.443155,0.4375,0.042972327,0.8,0.1,0.411,0.223,0.135,0.231,0.003,3.845,3.845
BPP_1000_1000_0.1_0.8_4,Delorme,1000,0.452643,0.453,0.04171654,0.8,0.101,0.443,0.235,0.104,0.218,0,3.357,4.357
BPP_1000_1000_0.1_0.8_5,Delorme,1000,0.441067,0.439,0.041524511,0.799,0.101,0.415,0.232,0.124,0.229,0,2.933,4.933
BPP_1000_1000_0.1_0.8_6,Delorme,1000,0.45236,0.4605,0.04111285,0.8,0.1,0.438,0.238,0.105,0.219,0.002,3.64,2.64
BPP_1000_1000_0.1_0.8_7,Delorme,1000,0.445295,0.436,0.041218748,0.8,0.1,0.414,0.239,0.132,0.215,0.001,2.705,4.705
BPP_1000_1000_0.1_0.8_8,Delorme,1000,0.448395,0.4415,0.040587215,0.8,0.1,0.423,0.249,0.112,0.216,0.002,3.605,4.605
BPP_1000_1000_0.1_0.8_9,Delorme,1000,0.458176,0.4625,0.040915835,0.799,0.1,0.438,0.249,0.106,0.207,0.001,3.824,4.824
